player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
La'Vell Wright,146736,HB,W KENTUCKY,1,6,2,0,0.0,0,0,22,0,0,2,18,85.7,1,2,346,0,4,70.7,60.4,71.2,,72.7,60.2,60.1,60.0,12,0,4,1,5,7,0,0,1,7,1,22,18,3.0,3.7,0.8,2
Elijah Green,122836,HB,SM HOUSTON,1,6,1,0,0.0,0,0,10,0,4,1,12,76.9,0,0,281,0,4,71.6,63.6,74.8,,22.2,77.5,60.2,59.2,7,0,61,7,21,8,0,0,7,13,0,10,12,2.0,1.7,2.9,2
Micah Alejado,184162,QB,HAWAII,1,6,0,0,0.0,0,0,0,0,0,0,,100.0,2,2,180,1,0,30.3,56.1,76.7,55.5,,,58.9,60.0,30,0,0,0,0,14,57,6,0,0,0,57,3,0.5,9.5,,0
Cam Barfield,162657,HB,HAWAII,1,6,2,0,0.0,0,0,45,1,0,2,24,114.3,2,1,180,0,2,70.7,68.4,73.9,,73.9,38.2,77.6,,13,0,10,1,14,6,0,0,2,7,0,45,24,4.0,7.5,0.71,3
Alex Orji,158545,QB,UNLV,1,6,6,0,0.0,0,0,22,0,0,5,20,400.0,1,3,325,1,5,20.5,63.7,71.6,61.4,,54.3,63.4,60.0,11,0,0,0,0,9,11,1,0,5,1,33,22,3.67,5.5,,0
Maverick McIvor,99476,QB,W KENTUCKY,1,5,0,0,0.0,0,0,7,0,0,0,3,0.0,0,2,346,0,1,70.8,77.3,77.8,78.1,,,58.3,60.0,5,0,0,0,0,30,10,3,0,2,1,17,9,1.8,3.4,,0
Keyvone Lee,129790,HB,UNLV,1,5,0,0,0.0,0,0,2,0,0,0,8,0.0,0,0,325,0,3,69.9,54.6,73.1,,70.0,59.8,54.6,58.5,3,0,-1,1,4,13,0,0,1,6,0,2,8,1.6,0.4,-0.25,2
DeVon Rice,183902,HB,KANSAS ST,1,5,2,0,0.0,0,0,9,0,0,2,13,86.7,1,0,199,0,4,68.9,57.3,74.1,,,55.6,59.3,58.3,10,0,0,1,6,9,0,0,1,6,0,9,13,2.6,1.8,0.0,0
Cole Tabb,188876,HB,STANFORD,1,5,0,0,0.0,0,0,28,0,0,0,11,0.0,0,1,300,0,4,70.7,64.3,72.2,,1.8,60.3,67.8,,9,0,6,1,6,5,0,0,1,6,0,28,11,2.2,5.6,1.0,1
Johnny Thompson Jr.,173087,HB,KANSAS,1,4,1,0,0.0,0,0,12,0,0,1,6,37.5,0,0,198,0,1,68.6,57.4,68.9,,,59.9,58.0,60.0,7,0,0,0,1,5,0,0,0,4,0,12,6,1.5,3.0,0.0,3
Isaiah Marshall,183809,QB,KANSAS,1,4,2,0,0.0,0,0,8,0,0,2,6,75.0,1,1,198,0,1,68.6,82.9,67.4,,,,72.6,,13,0,0,0,0,4,0,0,0,4,0,8,6,1.5,2.0,,0
Brandon Ramirez,173514,FB,FRESNO ST,1,3,2,0,0.0,0,0,11,0,0,2,11,146.7,0,1,169,0,0,68.2,64.2,70.1,,,80.1,61.7,54.4,8,0,11,2,3,7,0,0,2,5,0,11,11,3.67,3.7,3.67,3
Ben Gulbranson,131734,QB,STANFORD,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,300,0,0,68.6,29.4,77.2,29.3,,,51.4,60.0,4,1,0,0,0,41,5,2,0,0,0,5,0,0.0,2.5,,0
Cole Ballard,173062,QB,KANSAS,1,2,0,0,0.0,0,0,10,0,0,0,7,0.0,0,0,198,0,2,65.5,64.3,66.6,,,,62.2,60.0,6,0,0,0,0,3,0,0,0,2,0,10,7,3.5,5.0,,0
Jayce Brown,173093,WR,KANSAS ST,1,2,1,1,113.8,33,0,29,2,0,1,2,16.7,1,1,199,0,0,67.8,67.3,77.5,,,63.6,70.3,55.1,33,0,78,4,29,15,0,0,8,6,0,29,2,1.0,14.5,2.69,1
Elijah Gilliam,73621,HB,FRESNO ST,1,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,1,169,0,2,66.3,68.0,68.9,,,79.1,62.9,,3,0,3,1,1,2,0,0,1,3,1,3,2,1.0,1.5,3.0,0
Christian Vaughn,184181,HB,HAWAII,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,180,0,1,62.5,57.3,66.1,,74.1,,57.9,,3,0,0,0,0,1,0,0,0,1,0,3,2,2.0,3.0,,0
Doug Emilien,129648,WR,KANSAS,1,1,0,0,0.0,0,0,2,0,0,0,3,0.0,0,0,198,1,1,,53.8,72.6,,,57.1,59.1,59.7,2,0,0,0,5,14,0,0,0,1,0,2,3,3.0,2.0,0.0,0
K.D. Hutchinson,163045,WR,W KENTUCKY,1,1,0,0,0.0,0,0,-1,1,0,0,1,0.0,0,0,346,0,1,71.2,76.0,73.6,,,77.3,57.9,60.5,-1,0,34,4,10,8,0,0,5,5,0,-1,1,1.0,-1.0,3.4,0
Johnathan Arceneaux,146053,HB,FRESNO ST,1,1,0,0,0.0,0,0,2,0,0,0,4,0.0,0,0,169,0,0,62.5,56.3,70.7,,,53.8,59.6,60.0,2,0,0,0,10,2,0,0,1,1,0,2,4,4.0,2.0,0.0,1
Matthew Henry,192936,WR,W KENTUCKY,1,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,346,0,1,67.8,78.6,80.1,,,77.9,59.6,61.5,0,0,148,7,41,18,0,0,12,8,0,0,2,2.0,0.0,3.61,0
Jayon Farrar,198455,WR,FRESNO ST,1,1,1,0,0.0,0,0,-1,0,0,1,7,700.0,0,0,169,0,0,62.5,70.5,72.3,,,59.9,63.1,60.6,-1,0,0,0,1,9,0,0,0,1,0,-1,7,7.0,-1.0,0.0,0
E.J. Warner,156185,QB,FRESNO ST,1,1,0,0,0.0,0,0,8,0,0,0,0,0.0,0,1,169,1,0,28.8,59.4,76.3,56.9,,,63.3,60.0,8,0,0,0,0,26,0,0,0,1,0,8,0,0.0,8.0,,0
